BEseecheth	BEseecheth	vvz	BEseecheth	beseech	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Statute	Statute	n1	Statute	statute	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twenty	twenty	crd	twenty	twenty	0
third	third	ord	third	three	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	n2	Majesties	majesty	0
Reign	Reign	vvi	Reign	reign	0
,	,	,	,	,	0
Inti	Inti	np1	Inti	Inti	0
∣	∣	sy	∣	∣	0
tuled	tuled	vvd	tuled	tule	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
maintenance	maintenance	n1	maintenance	maintenance	0
of	of	pp-f	of	of	0
Navigation	Navigation	n1	Navigation	navigation	0
,	,	,	,	,	0
was	was	vbds	was	be	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
House	House	n1	House	house	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
names	names	n2	names	name	0
see	see	vvb	see	see	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	c-acp	before	fore	0
on	on	p-acp	on	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
24th	24th	ord	24th	24th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
No	No	av-dx	No	no	0
∣	∣	sy	∣	∣	0
vember	vember	vvb	vember	vember	0
foregoing	foregoing	vvg	foregoing	forego	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
Amendment	Amendment	n1	Amendment	amendment	0
thought	thought	vvd	thought	think	0
sit	sit	vvi	fit	sit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
;	;	;	;	;	0
And	And	cc	And	and	0
the	the	dt	the	the	0
Amendment	Amendment	n1	Amendment	amendment	0
being	being	vbg	being	be	0
thrice	thrice	av	thrice	thrice	0
read	read	vvn	read	read	0
,	,	,	,	,	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fixed	fixed	vvn	fixed	fix	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Schedule	Schedule	n1	Schedule	schedule	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
Monday	Monday	np1	Monday	Monday	0
the	the	dt	the	the	0
28th	28th	ord	28th	28th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
day	day	n1	day	day	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
last	last	ord	last	last	0
continued	continued	vvn	continued	continue	0
on	on	p-acp	on	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
explanation	explanation	n1	explanation	explanation	0
and	and	cc	and	and	0
execution	execution	n1	execution	execution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Act	Act	n1	Act	act	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
thirteenth	thirteenth	ord	thirteenth	thirteenth	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queens	Queens	n2	Queen's	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
Reign	Reign	vvi	Reign	reign	0
concerning	concerning	vvg	concerning	concern	0
Tellors	Tellors	n2	Tellors	tellor	0
and	and	cc	and	and	0
Receivors	Receivors	n2	Receivers	receiver	0
,	,	,	,	,	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
ter	ter	zz	ter	ter	0
∣	∣	sy	∣	∣	0
tiâ	tiâ	fw-la	tiâ	tiâ	0
vice	vice	fw-la	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
by	by	p-acp	by	by	0
Mr	Mr	n1	Mr	mr.	0
Attorney	Attorney	n1	Attorney	attorney	0
General	General	n1	General	general	0
and	and	cc	and	and	0
Dr	Dr	zz	Dr	dr	0
Stanhop	Stanhop	np1	Stanhop	Stanhop	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Com	Com	np1	Com	Com	0
∣	∣	sy	∣	∣	0
mons	mons	fw-la	mons	mons	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
Title	Title	n1	Title	title	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Repeal	Repeal	n1	Repeal	repeal	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Statute	Statute	n1	Statute	statute	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twenty	twenty	crd	twenty	twenty	0
third	third	ord	third	three	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	n2	Majesties	majesty	0
Reign	Reign	vvi	Reign	reign	0
,	,	,	,	,	0
Entituled	Entituled	vvd	Entitled	entitle	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
of	of	pp-f	of	of	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
maintenance	maintenance	n1	maintenance	maintenance	0
of	of	pp-f	of	of	0
Naviga	Naviga	np1	Naviga	Naviga	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
was	was	vbds	was	be	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
third	third	ord	third	three	0
reading	reading	n-vvg	reading	read	0
returned	returned	vvd	returned	return	0
again	again	av	again	again	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
House	House	n1	House	house	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
consideration	consideration	n1	consideration	consideration	0
and	and	cc	and	and	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
lowance	lowance	n1	lowance	lowance	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
Title	Title	n1	Title	title	0
thought	thought	vvd	thought	think	0
more	more	av-dc	more	more	0
fit	fit	j	fit	fit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
main	main	j	main	main	0
∣	∣	sy	∣	∣	0
tenance	tenance	n1	tenance	tenance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Navigation	Navigation	n1	Navigation	navigation	0
,	,	,	,	,	0
repealing	repealing	n-vvg	repealing	repeal	0
a	a	dt	a	a	0
former	former	j	former	former	0
Act	Act	n1	Act	act	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twenty	twenty	crd	twenty	twenty	0
third	third	ord	third	three	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Maje	Maje	j	Maje	maje	0
∣	∣	sy	∣	∣	0
sties	sties	ng1	sties	sties	0
Reign	Reign	vvi	Reign	reign	0
bearing	bearing	vvg	bearing	bear	0
the	the	dt	the	the	0
same	same	d	same	same	0
title	title	n1	title	title	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Amendments	Amendments	n2	Amendments	amendment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
added	added	vvd	added	add	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
names	names	n2	names	name	0
see	see	vvb	see	see	0
on	on	p-acp	on	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
24th	24th	ord	24th	24th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
November	November	np1	November	November	0
foregoing	foregoing	vvg	foregoing	forego	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
Mr	Mr	n1	Mr	mr.	0
Attorney	Attorney	n1	Attorney	attorney	0
General	General	n1	General	general	0
and	and	cc	and	and	0
Dr	Dr	zz	Dr	dr	0
Carew	Carew	np1	Carew	Carew	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
School	School	n1	School	school	0
of	of	pp-f	of	of	0
Seavenoake	Seavenoake	n1	Seavenoake	seavenoake	0
was	was	vbds	was	be	0
brought	brought	vvn	brought	bring	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Committees	Committees	n2	Committees	committee	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
on	on	p-acp	on	on	0
Monday	Monday	np1	Monday	Monday	0
the	the	dt	the	the	0
21th	21th	ord	21th	21th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
November	November	np1	November	November	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
although	although	cs	although	although	0
their	their	po32	their	their	0
names	names	n2	names	name	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Commitment	Commitment	n1	Commitment	commitment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Bill	Bill	n1	Bill	bill	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
second	second	ord	second	second	0
reading	reading	vvg	reading	read	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
purposely	purposely	av	purposely	purposely	0
omitted	omitted	vvn	omitted	omit	0
as	as	p-acp	as	as	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
consequence	consequence	n1	consequence	consequence	0
)	)	)	)	)	0
without	without	p-acp	without	without	0
alte	alte	vvi	alte	alte	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
,	,	,	,	,	0
and	and	cc	and	and	0
commanded	commanded	vvd	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ingrossed	ingrossed	vvn	ingrossed	ingross	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
day	day	n1	day	day	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
last	last	ord	last	last	0
continued	continued	vvn	continued	continue	0
on	on	p-acp	on	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
School	School	n1	School	school	0
of	of	pp-f	of	of	0
Seavenoake	Seavenoake	n1	Seavenoake	seavenoake	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
tertiâ	tertiâ	fw-la	tertiâ	tertiâ	0
vice	vice	fw-la	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
by	by	p-acp	by	by	0
Mr	Mr	n1	Mr	mr.	0
Serjeant	Serjeant	np1	Serjeant	Serjeant	0
Drew	Drew	vvd	Drew	draw	0
and	and	cc	and	and	0
Mr	Mr	n1	Mr	mr.	0
Dr	Dr	zz	Dr	dr	0
Stanhop	Stanhop	np1	Stanhop	Stanhop	0
.	.	.	.	.	1
The	The	dt	The	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
establishing	establishing	vvg	establishing	establish	0
the	the	dt	the	the	0
Town	Town	n1	Town	town	0
Lands	Lands	n2	Lands	land	0
of	of	pp-f	of	of	0
Wanting	Wanting	vvg	Wanting	want	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
was	was	vbds	was	be	0
brought	brought	vvn	brought	bring	0
in	in	p-acp	in	in	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Commit	Commit	vvi	Commit	commit	0
∣	∣	sy	∣	∣	0
tees	tees	n2	tees	tee	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
appointed	appointed	vvn	appointed	appoint	0
on	on	p-acp	on	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
the	the	dt	the	the	0
26th	26th	ord	26th	26th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
November	November	np1	November	November	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
although	although	cs	although	although	0
their	their	po32	their	their	0
names	names	n2	names	name	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Commitment	Commitment	n1	Commitment	commitment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Bill	Bill	n1	Bill	bill	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
second	second	ord	second	second	0
reading	reading	vvg	reading	read	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
purposely	purposely	av	purposely	purposely	0
o	o	uh	oh	oh	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
as	as	p-acp	as	as	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
consequence	consequence	n1	consequence	consequence	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Proviso	Proviso	n1	Proviso	proviso	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Proviso	Proviso	n1	Proviso	proviso	0
was	was	vbds	was	be	0
twice	twice	av	twice	twice	0
read	read	vvn	read	read	0
.	.	.	.	.	1
The	The	dt	The	the	0
Parties	Parties	n2	Parties	party	0
that	that	cst	that	that	0
Arrested	Arrested	vvd	Arrested	arrest	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Chandois	Chandois	np1	Chandois	Chandois	0
Servant	Servant	n1	Servant	servant	0
,	,	,	,	,	0
Edward	Edward	np1	Edward	Edward	0
Barston	Barston	np1	Barston	Barston	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
William	William	np1	William	William	0
Wood	Wood	n1	Wood	wood	0
and	and	cc	and	and	0
one	one	crd	one	one	0
Stephenson	Stephenson	np1	Stephenson	Stephenson	0
a	a	dt	a	a	0
Serjeant	Serjeant	n1	Sergeant	sergeant	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
House	House	n1	House	house	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Serjeant	Serjeant	n1	Sergeant	sergeant	0
at	at	p-acp	at	at	0
Arms	Arms	n2	Arms	arm	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
some	some	d	some	some	0
notice	notice	n1	notice	notice	0
taken	taken	vvn	taken	take	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
Mr	Mr	n1	Mr	mr.	0
Justice	Justice	n1	Justice	justice	0
Owen	Owen	np1	Owen	Owen	0
and	and	cc	and	and	0
Mr	Mr	n1	Mr	mr.	0
Serjeant	Serjeant	np1	Serjeant	Serjeant	0
Drew	Drew	vvd	Drew	draw	0
were	were	vbdr	were	be	0
appoin	appoin	vvi	appoint	appoint	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
to	to	pc-acp	to	to	0
examine	examine	vvi	examine	examine	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
report	report	n1	report	report	0
thereof	thereof	av	thereof	thereof	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
.	.	.	.	.	1
Vide	Vide	fw-la	Vide	vide	0
concerning	concerning	vvg	concerning	concern	0
this	this	d	this	this	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
on	on	p-acp	on	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
the	the	dt	the	the	0
26th	26th	ord	26th	26th	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
instant	instant	j-jn	instant	instant	0
No	No	av-dx	No	no	0
∣	∣	sy	∣	∣	0
vember	vember	vvb	vember	vember	0
foregoing	foregoing	vvg	foregoing	forego	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
Hunsdon	Hunsdon	np1	Hunsdon	Hunsdon	0
Lord	Lord	n1	Lord	lord	0
Chamberlain	Chamberlain	n1	Chamberlain	chamberlain	0
took	took	vvd	took	take	0
his	his	po31	his	his	0
place	place	n1	place	place	0
this	this	d	this	this	0
day	day	n1	day	day	0
as	as	p-acp	as	as	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Hunsdon	Hunsdon	np1	Hunsdon	Hunsdon	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Chandois	Chandois	np1	Chandois	Chandois	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Sr	Sr	n1	Sir	sir	0
John	John	np1	John	John	0
of	of	pp-f	of	of	0
Bletso	Bletso	n1	Bletso	bletso	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
Saturday	Saturday	np1	Saturday	Saturday	0
the	the	dt	the	the	0
third	third	ord	third	three	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
day	day	n1	day	day	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
last	last	ord	last	last	0
conti	conti	fw-la	conti	conti	0
∣	∣	sy	∣	∣	0
nued	nued	vvd	nued	nue	0
on	on	p-acp	on	on	0
Thursday	Thursday	np1	Thursday	Thursday	0
foregoing	foregoing	vvg	foregoing	forego	0
,	,	,	,	,	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
estab	estab	n1	estab	estab	0
∣	∣	sy	∣	∣	0
lishing	lishing	n-vvg	lishing	lish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Town	Town	n1	Town	town	0
Lands	Lands	n2	Lands	land	0
of	of	pp-f	of	of	0
Wanting	Wanting	vvg	Wanting	want	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Berks	Berks	np1	Berks	Berks	0
,	,	,	,	,	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
tertiâ	tertiâ	fw-la	tertiâ	tertiâ	0
vice	vice	fw-la	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
by	by	p-acp	by	by	0
Mr	Mr	n1	Mr	mr.	0
Serjeant	Serjeant	np1	Serjeant	Serjeant	0
Drew	Drew	vvd	Drew	draw	0
and	and	cc	and	and	0
Mr	Mr	n1	Mr	mr.	0
Attorney	Attorney	n1	Attorney	attorney	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Proviso	Proviso	n1	Proviso	proviso	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
added	added	vvn	added	add	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mittees	mittees	n2	mittees	mittee	0
.	.	.	.	.	1
Five	Five	crd	Five	five	0
Bills	Bills	n2	Bills	bill	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
first	first	ord	first	first	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
mainte	mainte	j	mainte	mainte	0
∣	∣	sy	∣	∣	0
nance	nance	n1	nance	nance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Navigation	Navigation	n1	Navigation	navigation	0
,	,	,	,	,	0
repealing	repealing	n-vvg	repealing	repeal	0
a	a	dt	a	a	0
former	former	j	former	former	0
Act	Act	n1	Act	act	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twenty	twenty	crd	twenty	twenty	0
third	third	ord	third	three	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	n2	Majesties	majesty	0
Reign	Reign	vvi	Reign	reign	0
bearing	bearing	vvg	bearing	bear	0
the	the	dt	the	the	0
same	same	d	same	same	0
title	title	n1	title	title	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
said	said	vvd	said	say	0
Bill	Bill	n1	Bill	bill	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Commons	Commons	n2	Commons	commons	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
consideration	consideration	n1	consideration	consideration	0
and	and	cc	and	and	0
allowance	allowance	n1	allowance	allowance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ti	ti	zz	ti	ti	0
∣	∣	sy	∣	∣	0
tle	tle	n1	tle	tle	0
and	and	cc	and	and	0
some	some	d	some	some	0
Amendments	Amendments	n2	Amendments	amendment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Body	Body	n1	Body	body	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
.	.	.	.	.	1
A	A	dt	A	a	0
second	second	ord	second	second	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
erecting	erecting	vvg	erecting	erect	0
of	of	pp-f	of	of	0
Hospi	Hospi	np1	Hospi	Hospi	0
∣	∣	sy	∣	∣	0
tals	tals	n2-jn	tals	tal	0
or	or	cc	or	or	0
abiding	abiding	vvg	abiding	abide	0
and	and	cc	and	and	0
working	working	vvg	working	work	0
Houses	Houses	n2	Houses	house	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
,	,	,	,	,	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
primâ	primâ	fw-la	primâ	primâ	0
vice	vice	fw-la	vice	vice	0
.	.	.	.	.	1
Two	Two	crd	Two	two	0
Bills	Bills	n2	Bills	bill	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
great	great	j	great	great	0
moment	moment	n1	moment	moment	0
had	had	vhd	had	have	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
one	one	crd	one	one	0
reading	reading	vvg	reading	read	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
first	first	ord	first	first	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
Bill	Bill	n1	Bill	bill	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
and	and	cc	and	and	0
safer	safer	av-jc	safer	safe	0
Recording	Recording	vvg	Recording	record	0
of	of	pp-f	of	of	0
Fines	Fines	n2	Fines	fine	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
levied	levied	vvn	levied	levy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Common	Common	j	Common	common	0
