DEar	DEar	av-jn	DEar	dear	0
wonder	wonder	vvi	wonder	wonder	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
maintain	maintain	vvi	maintain	maintain	0
that	that	d	that	that	0
corrupt	corrupt	j	corrupt	corrupt	0
power	power	n1	power	power	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
when	when	c-crq	when	when	0
once	once	c-acp	once	once	0
the	the	dt	the	the	0
Anointing	Anointing	vvg	Anointing	anoint	0
takes	takes	vvz	takes	take	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
and	and	cc	and	and	0
reigns	reigns	n2	reigns	reign	0
:	:	:	:	:	0
The	The	dt	The	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
or	or	cc	or	or	0
fleshly	fleshly	j	fleshly	fleshly	0
wisdom	wisdom	n1	wisdom	wisdom	0
in	in	p-acp	in	in	0
States	States	n2	States	state	0
and	and	cc	and	and	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
Dan.	Dan.	np1	Dan.	Dan.	1
7.	7.	crd	7.	7.	0
6.	6.	crd	6.	6.	0
27.	27.	crd	27.	27.	0
shall	shall	vmb	shall	shall	0
never	never	av-x	never	never	0
reigne	reigne	vvi	reign	reign	0
more	more	av-dc	more	more	0
:	:	:	:	:	0
this	this	d	this	this	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
knows	knows	vvz	knows	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
God	God	np1	God	God	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lamb	Lamb	n1	Lamb	lamb	0
sits	sits	vvz	sits	sit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
11.	11.	crd	11.	11.	0
5.	5.	crd	5.	5.	0
judging	judging	vvg	judging	judge	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
and	and	cc	and	and	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
;	;	;	;	;	0
The	The	dt	The	the	0
smoke	smoke	n1	smoke	smoke	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
torment	torment	n1	torment	torment	0
ascends	ascends	vvz	ascends	ascend	0
up	up	p-acp	up	up	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
day	day	n1	day	day	0
and	and	cc	and	and	0
night	night	n1	night	night	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
blasphemy	blasphemy	n1	blasphemy	blasphemy	0
against	against	p-acp	against	against	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
bitter	bitter	j	bitter	bitter	0
language	language	n1	language	language	0
and	and	cc	and	and	0
ill	ill	j-jn	ill	ill	0
usages	usages	n2	usages	usage	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Saints	Saints	n2	Saints	saint	0
;	;	;	;	;	0
Rev.	Rev.	n1	Rev.	rev.	1
16.	16.	crd	16.	16.	0
7.	7.	crd	7.	7.	0
that	that	d	that	that	0
live	live	vvi	live	live	0
above	above	a-acp	above	above	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
liberty	liberty	n1	liberty	liberty	0
and	and	cc	and	and	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
condition	condition	n1	condition	condition	0
above	above	p-acp	above	above	0
the	the	dt	the	the	0
bondage	bondage	n1	bondage	bondage	0
and	and	cc	and	and	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
;	;	;	;	;	0
Rev.	Rev.	n1	Rev.	rev.	1
14.	14.	crd	14.	14.	0
1.	1.	crd	1.	1.	0
well	well	av	well	well	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
thus	thus	av	thus	thus	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
wait	wait	vvi	wait	wait	0
patiently	patiently	av-j	patiently	patient	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
God	God	n1	God	god	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
conclusion	conclusion	n1	conclusion	conclusion	0
,	,	,	,	,	0
Esa.	Esa.	np1	Esa.	Esa.	1
60.	60.	crd	60.	60.	0
4.	4.	crd	4.	4.	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
enemies	enemies	n2	enemies	enemy	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
down	down	a-acp	down	down	0
at	at	p-acp	at	at	0
Christs	Christs	npg1	Christs	Christ	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
and	and	cc	and	and	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
your	your	po22	your	your	0
joy	joy	n1	joy	joy	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
fulfilled	fulfilled	vvn	fulfilled	fulfil	0
.	.	.	.	.	1
This	This	d	This	this	0
thing	thing	n1	thing	thing	0
God	God	np1	God	God	0
ere	ere	c-acp	ere	ere	0
long	long	av-j	long	long	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
;	;	;	;	;	0
far	far	av-j	far	far	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
judging	judging	vvg	judging	judge	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ire	Ire	n1	Ire	ire	0
∣	∣	sy	∣	∣	0
land	land	n1	land	land	0
;	;	;	;	;	0
this	this	d	this	this	0
three-fold	three-fold	j	threefold	threefold	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
ev	ev	fw-la	ev	ev	0
.	.	.	.	.	1
11.	11.	crd	11.	11.	0
3.	3.	crd	3.	3.	0
united	united	vvn	united	unite	0
under	under	p-acp	under	under	0
one	one	crd	one	one	0
head	head	n1	head	head	0
or	or	cc	or	or	0
State	State	n1	State	state	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
tenth	tenth	ord	tenth	ten	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
Babylon	Babylon	np1	Babylon	Babylon	0
,	,	,	,	,	0
that	that	cst	that	that	0
must	must	vmb	must	must	0
fall	fall	vvi	fallen	fall	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
first	first	ord	first	first	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
doubtings	doubtings	n2	doubtings	doubting	0
but	but	p-acp	but	but	0
daily	daily	j	daily	daily	0
confirma	confirma	fw-la	confirma	confirma	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
Cor.	Cor.	np1	Cor.	Cor.	1
4.	4.	crd	4.	4.	0
that	that	d	that	that	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
;	;	;	;	;	0
You	You	pn22	You	you	0
shall	shall	vmb	shall	shall	0
then	then	av	then	then	0
see	see	vvi	see	see	0
,	,	,	,	,	0
That	That	cst	That	that	0
all	all	d	all	all	0
this	this	d	this	this	0
envy	envy	n1	envy	envy	0
and	and	cc	and	and	0
bitterness	bitterness	n1	bitterness	bitterness	0
of	of	pp-f	of	of	0
spirit	spirit	n1	spirit	spirit	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
Nati	Nati	np1	Nati	Nati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
,	,	,	,	,	0
shalldie	shalldie	j	shalldie	shalldie	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
swallowed	swallowed	vvn	swallowed	swallow	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rit	rit	n1	rit	rit	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
:	:	:	:	:	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
these	these	d	these	these	0
great	great	j	great	great	0
nationall	nationall	j	national	national	0
divi	divi	fw-la	divi	divi	0
∣	∣	sy	∣	∣	0
sions	sions	n1	zions	zions	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
swallowed	swallowed	vvn	swallowed	swallow	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
brotherly	brotherly	j	brotherly	brotherly	0
one-ness	one-ness	j	oneness	oneness	0
;	;	;	;	;	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
oppressing	oppressing	vvg	oppressing	oppress	0
injustice	injustice	n1	injustice	injustice	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
swallowed	swallowed	vvn	swallowed	swallow	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
righteousness	righteousness	n1	righteousness	righteousness	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fire	fire	n1	fire	fire	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
a.	a.	n1	a.	a.	0
4.	4.	crd	4.	4.	0
4.	4.	crd	4.	4.	0
to	to	p-acp	to	to	0
burn	burn	vvi	burn	burn	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
fire	fire	n1	fire	fire	0
of	of	pp-f	of	of	0
mens	mens	ng2	men's	man	0
lusts	lusts	n2	lustest	lust	0
and	and	cc	and	and	0
inventions	inventions	n2	inventions	invention	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	d	that	that	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
shall	shall	vmb	shall	shall	0
love	love	vvi	love	love	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
nursing	nursing	vvg	nursing	nurse	0
Fathers	Fathers	n2	Father's	father	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
prophesie	prophesie	vvi	prophesy	prophesy	0
comes	comes	vvz	comes	come	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fulfilled	fulfilled	vvn	fulfilled	fulfil	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
people	people	n1	people	people	0
shall	shall	vmb	shall	shall	0
love	love	vvi	love	love	0
and	and	cc	and	and	0
chearfully	chearfully	av-j	cheerfully	cheerful	0
obey	obey	vvi	obey	obey	0
the	the	dt	the	the	0
Commands	Commands	vvz	Commands	command	0
of	of	pp-f	of	of	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
;	;	;	;	;	0
Esa.	Esa.	np1	Esa.	Esa.	1
49.	49.	crd	49.	49.	0
22.	22.	crd	22.	22.	1
All	All	av-d	All	all	0
striving	striving	vvg	striving	strive	0
who	who	r-crq	who	who	0
shall	shall	vmb	shall	shall	0
honour	honour	vvi	honour	honour	0
God	God	np1	God	God	0
most	most	av-ds	most	most	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
severall	severall	j	several	several	0
places	places	n2	places	place	0
and	and	cc	and	and	0
callings	callings	n2	callings	calling	0
,	,	,	,	,	0
this	this	d	this	this	0
God	God	np1	God	God	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
Comman	Comman	j	Commn	common	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
in	in	p-acp	in	in	0
chief	chief	j-jn	chief	chief	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirits	spirits	n2	spirits	spirit	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
three	three	crd	three	three	0
Songs	Songs	n2	Songs	song	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
taught	taught	vvn	taught	teach	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
sing	sing	vvi	sing	sing	0
in	in	p-acp	in	in	0
experience	experience	n1	experience	experience	0
continual	continual	j	continual	continual	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
1	1	crd	1	1	0
7.	7.	crd	7.	7.	0
8.	8.	crd	8.	8.	0
fear	fear	n1	fear	fear	0
(	(	(	(	(	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
love	love	vvi	love	love	0
)	)	)	)	)	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
.	.	.	.	.	1
The	The	dt	The	the	0
second	second	ord	second	second	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Babylon	Babylon	np1	Babylon	Babylon	0
is	is	vbz	is	be	0
faln	faln	vvn	fallen	fall	0
,	,	,	,	,	0
is	is	vbz	is	be	0
flan	flan	n1	flan	flan	0
,	,	,	,	,	0
chap.	chap.	n1	chap.	chapter	1
19.	19.	crd	19.	19	0
6.	6.	crd	6.	6.	0
that	that	d	that	that	0
great	great	j	great	great	0
City	City	n1	City	city	0
Babylon	Babylon	np1	Babylon	Babylon	0
is	is	vbz	is	be	0
faln	faln	vvn	fallen	fall	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
third	third	ord	third	three	0
is	is	vbz	is	be	0
Haleluja	Haleluja	np1	Haleluja	Haleluja	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
omnipotent	omnipotent	j	omnipotent	omnipotent	0
reigns	reigns	vvz	reigns	reign	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
brethren,1	brethren,1	n1	brethren,1	brethren,1	0
Pet.	Pet.	np1	Pet.	Pet.	0
4.	4.	crd	4.	4.	0
13.	13.	crd	13.	13.	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Ser	Ser	n1	Sir	sir	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
subdued	subdued	vvn	subdued	subdue	0
;	;	;	;	;	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
and	and	cc	and	and	0
feel	feel	vvi	feel	feel	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
your	your	po22	your	your	0
teacher	teacher	n1	teacher	teacher	0
,	,	,	,	,	0
your	your	po22	your	your	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
your	your	po22	your	your	0
strength	strength	n1	strength	strength	0
,	,	,	,	,	0
your	your	po22	your	your	0
liberty	liberty	n1	liberty	liberty	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
free	free	j	free	free	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
sa	sa	fw-fr	sa	sa	0
∣	∣	sy	∣	∣	0
tisfying	tisfying	vvg	tisfying	tisfy	0
freedom	freedom	n1	freedom	freedom	0
:	:	:	:	:	0
Now	Now	av	Now	now	0
speak	speak	vvb	speak	speak	0
plainly	plainly	av-j	plainly	plain	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
your	your	po22	your	your	0
☜	☜	☜	☜	☜	0
hearts	hearts	n2	hearts	heart	0
love	love	n1	love	love	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
,	,	,	,	,	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledge	knowledge	n1	knowledge	knowledge	0
God	God	np1	God	God	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
pardoning	pardoning	vvg	pardoning	pardon	0
,	,	,	,	,	0
healing	healing	j-vvg	healing	heal	0
,	,	,	,	,	0
teaching	teaching	vvg	teaching	teach	0
,	,	,	,	,	0
saving	saving	vvg	saving	save	0
,	,	,	,	,	0
and	and	cc	and	and	0
manifesting	manifesting	vvg	manifesting	manifest	0
love	love	n1	love	love	0
and	and	cc	and	and	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
men	men	n2	men	man	0
and	and	cc	and	and	0
creatures	creatures	n2	creatures	creature	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
nothing	nothing	pix	nothing	nothing	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
must	must	vmb	must	must	0
let	let	vvi	let	let	0
that	that	cst	that	that	0
alone	alone	av-j	alone	alone	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	c-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
now	now	av	now	now	0
you	you	pn22	you	you	0
give	give	vvb	give	give	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
love	love	vvb	love	love	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
beleeve	beleeve	vvb	believe	believe	0
that	that	d	that	that	0
Scripture	Scripture	n1	Scripture	scripture	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
interpre	interpre	j	interpre	interpre	0
∣	∣	sy	∣	∣	0
ted	ted	n1	ted	ted	0
,	,	,	,	,	0
Fear	Fear	n1	Fear	fear	0
God	God	np1	God	God	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
rather	rather	av-c	rather	rather	0
be	be	vbi	be	be	0
,	,	,	,	,	0
Love	Love	n1	Love	love	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
frame	frame	n1	frame	frame	0
of	of	pp-f	of	of	0
spirit	spirit	n1	spirit	spirit	0
thus	thus	av	thus	thus	0
set	set	vvn	set	set	0
at	at	p-acp	at	at	0
liberty	liberty	n1	liberty	liberty	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
Ba	Ba	uh	Ba	ba	0
∣	∣	sy	∣	∣	0
bylon	bylon	n1	bylon	bylon	0
is	is	vbz	is	be	0
faln	faln	vvn	fallen	fall	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
omnipo	omnipo	av	omnipo	omnipo	0
∣	∣	sy	∣	∣	0
tent	tent	n1	tent	tent	0
reigns	reigns	vvz	reigns	reign	0
;	;	;	;	;	0
is	is	vbz	is	be	0
rather	rather	av-c	rather	rather	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
embracings	embracings	n2	embracings	embrace	0
and	and	cc	and	and	0
breathings	breathings	n2-vvg	breathings	breathe	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
and	and	cc	and	and	0
delight	delight	n1	delight	delight	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
God	God	np1	God	God	0
all	all	d	all	all	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
John	John	np1	John	John	0
18.	18.	crd	18.	18.	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
fear	fear	vvi	fear	fear	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
bondage	bondage	n1	bondage	bondage	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
perfect	perfect	j	perfect	perfect	0
love	love	n1	love	love	0
casts	casts	vvz	casts	cast	0
out	out	av	out	out	0
▪	▪	▪	▪	▪	0
Well	Well	uh-av	Well	well	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
cloud	cloud	n1	cloud	cloud	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Redemption	Redemption	n1	Redemption	redemption	0
drawes	drawes	vvz	draws	draw	0
near	near	av-j	near	near	0
:	:	:	:	:	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
working	working	vvg	working	work	0
out	out	av	out	out	0
,	,	,	,	,	0
an	an	dt	and	a	0
inward	inward	j	inward	inward	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
outward	outward	j	outward	outward	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
liberty	liberty	n1	liberty	liberty	0
for	for	p-acp	for	for	0
yon	yon	d	yond	yond	0
all	all	d	all	all	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
writ	writ	vvn	writ	write	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
following	following	vvg	following	follow	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
course	course	n1	course	course	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
write	write	vvi	write	write	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
carried	carried	vvn	carried	carry	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
strong	strong	j	strong	strong	0
hand	hand	n1	hand	hand	0
(	(	(	(	(	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
through	through	p-acp	through	through	0
much	much	d	much	much	0
bodily	bodily	j	bodily	bodily	0
weakness	weakness	n1	weakness	weakness	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
with	with	p-acp	with	with	0
abun	abun	n1	abun	abun	0
∣	∣	sy	∣	∣	0
dance	dance	n1	dance	dance	0
of	of	pp-f	of	of	0
delight	delight	n1	delight	delight	0
;	;	;	;	;	0
that	that	cst	that	that	0
gave	gave	vvd	gave	give	0
strength	strength	n1	strength	strength	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
spirit	spirit	n1	spirit	spirit	0
;	;	;	;	;	0
I	I	pns11	I	i	0
leave	leave	vvb	leave	leave	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
.	.	.	.	.	0
ev	ev	fw-la	ev	ev	0
.	.	.	.	.	1
22.	22.	crd	22.	22.	0
1.	1.	crd	1.	1.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
I	I	pns11	I	i	0
chearfully	chearfully	av-j	cheerfully	cheerful	0
set	set	vvn	set	set	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
head	head	n1	head	head	0
that	that	cst	that	that	0
sits	sits	vvz	sits	sit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Lamb	Lamb	n1	Lamb	lamb	0
for	for	c-acp	for	for	0
evermore	evermore	av	evermore	evermore	0
.	.	.	.	.	0
ev	ev	fw-la	ev	ev	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	0
3.	3.	crd	3.	3.	1
May	May	np1	May	May	0
20.	20.	crd	20.	20.	0
1648.	1648.	crd	1648.	1648.	1
